email,classgroup,code
raymond_petrov@bivgs.com,2025-G10,TRANSFER
janet_johansson@bivgs.com,2025-G10,TRANSFER
arthur_popescu@bivgs.com,2025-G10,TRANSFER
lawrence_jensen@bivgs.com,2025-G10,TRANSFER
abigail_rossi@bivgs.com,2025-G10,TRANSFER
jesse_novak@bivgs.com,2025-G10,TRANSFER
dylan_ivanov@bivgs.com,2025-G10,TRANSFER
bryan_jensen@bivgs.com,2025-G10,TRANSFER
grace_popescu@bivgs.com,2025-G10,TRANSFER
joe_dubois@bivgs.com,2025-G10,TRANSFER
janice_petrov@bivgs.com,2025-G10,TRANSFER
billy_bakker@bivgs.com,2025-G10,TRANSFER
rose_ivanov@bivgs.com,2025-G10,TRANSFER
bruce_hansen@bivgs.com,2025-G10,TRANSFER
albert_popescu@bivgs.com,2025-G10,TRANSFER
gloria_rossi@bivgs.com,2025-G10,TRANSFER
willie_hansen@bivgs.com,2025-G10,TRANSFER
eleanor_schneider@bivgs.com,2025-G10,TRANSFER
gabriel_lindberg@bivgs.com,2025-G10,TRANSFER
cassandra_schneider@bivgs.com,2025-G10,TRANSFER
christina_binger@bivgs.no,2025-G11,TRANSFER
alex_walekhwa@bivgs.no,2025-G11,TRANSFER
philip_leo@bivgs.no,2025-G11,TRANSFER
shoni_hlongwane@bivgs.no,2025-G11,TRANSFER
maria_kedibone@bivgs.no,2025-G11,TRANSFER
hannah_hansen@bivgs.no,2025-G11,TRANSFER
ole_johansen@bivgs.no,2025-G11,TRANSFER
lars_olsen@bivgs.no,2025-G11,TRANSFER
sofie_jensen@bivgs.no,2025-G11,TRANSFER
emma_devries@bivgs.no,2025-G11,TRANSFER
solveig_eliassen@bivgs.no,2025-G11,TRANSFER
odd_knudsen@bivgs.no,2025-G11,TRANSFER
grethe_myklebust@bivgs.no,2025-G11,TRANSFER
marco_rossi@bivgs.no,2025-G11,TRANSFER
ingrid_eide@bivgs.no,2025-G11,TRANSFER
hanna_andresen@bivgs.no,2025-G11,TRANSFER
jorunn_eliassen@bivgs.no,2025-G11,TRANSFER
sebastian_kristiansen@bivgs.no,2025-G11,TRANSFER
camilla_mikkelsen@bivgs.no,2025-G11,TRANSFER
prof_birkeland@bivgs.no,2025-G11,TRANSFER
hanna_isaksen@bivgs.no,2025-G11,TRANSFER
kristine_berg@bivgs.no,2025-G11,TRANSFER
odd_ahmed@bivgs.no,2025-G11,TRANSFER
gunnar_brekke@bivgs.no,2025-G11,TRANSFER
gerd_bakken@bivgs.no,2025-G11,TRANSFER
aisha_nakaweesi@bivgs.no,2025-G11,TRANSFER
kato_muwanguzi@bivgs.no,2025-G11,TRANSFER
nansubuga_nakalema@bivgs.no,2025-G11,TRANSFER
james_bakker@bivgs.com,2025-G11,TRANSFER
mary_novak@bivgs.com,2025-G11,TRANSFER
john_lindberg@bivgs.com,2025-G11,TRANSFER
patricia_novak@bivgs.com,2025-G11,TRANSFER
jennifer_schneider@bivgs.com,2025-G11,TRANSFER
michael_novak@bivgs.com,2025-G11,TRANSFER
linda_smits@bivgs.com,2025-G11,TRANSFER
william_schneider@bivgs.com,2025-G11,TRANSFER
elizabeth_dimitrov@bivgs.com,2025-G11,TRANSFER
david_hansen@bivgs.com,2025-G11,TRANSFER
richard_petrov@bivgs.com,2025-G11,TRANSFER
susan_bakker@bivgs.com,2025-G11,TRANSFER
joseph_popescu@bivgs.com,2025-G11,TRANSFER
jessica_schneider@bivgs.com,2025-G11,TRANSFER
thomas_schneider@bivgs.com,2025-G11,TRANSFER
sarah_kowalski@bivgs.com,2025-G11,TRANSFER
charles_ivanov@bivgs.com,2025-G11,TRANSFER
karen_ivanov@bivgs.com,2025-G11,TRANSFER
christopher_lindberg@bivgs.com,2025-G11,TRANSFER
nancy_schneider@bivgs.com,2025-G11,TRANSFER
daniel_jensen@bivgs.com,2025-G11,TRANSFER
matthew_andersen@bivgs.com,2025-G11,TRANSFER
betty_andersen@bivgs.com,2025-G11,TRANSFER
anthony_lindberg@bivgs.com,2025-G11,TRANSFER
mark_dubois@bivgs.com,2025-G11,TRANSFER
sandra_jensen@bivgs.com,2025-G11,TRANSFER
donald_kowalski@bivgs.com,2025-G11,TRANSFER
ashley_bakker@bivgs.com,2025-G11,TRANSFER
steven_smits@bivgs.com,2025-G11,TRANSFER
kimberly_smits@bivgs.com,2025-G11,TRANSFER
joakim_edvardsen@bivgs.no,2025-G12,TRANSFER
don_pettersen@bivgs.no,2025-G12,TRANSFER
frank_abrahamsen@bivgs.no,2025-G12,TRANSFER
thor_sandvik@bivgs.no,2025-G12,TRANSFER
petter_ellingsen@bivgs.no,2025-G12,TRANSFER
sindre_hansen@bivgs.no,2025-G12,TRANSFER
simen_myhre@bivgs.no,2025-G12,TRANSFER
trond_karlsen@bivgs.no,2025-G12,TRANSFER
emily_thompson@bivgs.no,2025-G12,TRANSFER
unni_jacobsen@bivgs.no,2025-G12,TRANSFER
grethe_brekke@bivgs.no,2025-G12,TRANSFER
ruth_pedersen@bivgs.no,2025-G12,TRANSFER
inger_jensen@bivgs.no,2025-G12,TRANSFER
peninah_andresen@bivgs.no,2025-G12,TRANSFER
berit_eide@bivgs.no,2025-G12,TRANSFER
jenny_kristoffersen@bivgs.no,2025-G12,TRANSFER
thea_knutsen@bivgs.no,2025-G12,TRANSFER
dag_arnesen@bivgs.no,2025-G12,TRANSFER
mwanaidi_ali@bivgs.no,2025-G12,TRANSFER
chinedu_morison@bivgs.no,2025-G12,TRANSFER
chinedu_okafor@bivgs.no,2025-G12,TRANSFER
marianne_ruud@bivgs.no,2025-G12,TRANSFER
jens_lunde@bivgs.no,2025-G12,TRANSFER
morten_olsen@bivgs.no,2025-G12,TRANSFER
karoline_ahmed@bivgs.no,2025-G12,TRANSFER
ola_bakke@bivgs.no,2025-G12,TRANSFER
tore_abrahamsen@bivgs.no,2025-G12,TRANSFER
caroline_narocho@bivgs.no,2025-G12,TRANSFER
silvia_berg@bivgs.no,2025-G12,TRANSFER
valentino_ojiambo@bivgs.no,2025-G12,TRANSFER
peter_kubebea@bivgs.no,2025-G12,TRANSFER
lucas_schmidt@bivgs.no,2025-G12,TRANSFER
marie_dubois@bivgs.no,2025-G12,TRANSFER
emma_janssen@bivgs.no,2025-G12,TRANSFER
maximilan_martini@bivgs.no,2025-G12,TRANSFER
clara_bernard@bivgs.no,2025-G12,TRANSFER
julian_nielsen@bivgs.no,2025-G12,TRANSFER
sophie_brown@bivgs.no,2025-G12,TRANSFER
leon_bauer@bivgs.no,2025-G12,TRANSFER
mohammed_salim@bivgs.no,2025-G12,TRANSFER
bikash_wamalwa@bivgs.no,2025-G12,TRANSFER
xiao_chengo@bivgs.no,2025-G12,TRANSFER
ole_olsen@bivgs.no,2025-G12,TRANSFER
mei_huang@bivgs.no,2025-G12,TRANSFER
ingrid_hansen@bivgs.no,2025-G12,TRANSFER
anita_verma@bivgs.no,2025-G12,TRANSFER
joseph_musoke@bivgs.no,2025-G12,TRANSFER
hannah_larsen@bivgs.no,2025-G12,TRANSFER
ram_thapa@bivgs.no,2025-G12,TRANSFER
mwangi_kariuki@bivgs.no,2025-G12,TRANSFER
ole_andersen@bivgs.no,2025-G12,TRANSFER
mei_li@bivgs.no,2025-G12,TRANSFER
raj_iyer@bivgs.no,2025-G12,TRANSFER
feng_chen@bivgs.no,2025-G12,TRANSFER
pooja_khadka@bivgs.no,2025-G12,TRANSFER
pooja_thapa@bivgs.no,2025-G12,TRANSFER
xiao_liu@bivgs.no,2025-G12,TRANSFER
achan_musoke@bivgs.no,2025-G12,TRANSFER
achan_ssenyonga@bivgs.no,2025-G12,TRANSFER
kavita_rao@bivgs.no,2025-G12,TRANSFER
xiao_wang@bivgs.no,2025-G12,TRANSFER
ram_rana@bivgs.no,2025-G12,TRANSFER
kintu_kagwa@bivgs.no,2025-G12,TRANSFER
kavita_sharma@bivgs.no,2025-G12,TRANSFER
anita_gupta@bivgs.no,2025-G12,TRANSFER
jian_yang@bivgs.no,2025-G12,TRANSFER
amit_gupta@bivgs.no,2025-G12,TRANSFER
mwangi_kamaui@bivgs.no,2025-G12,TRANSFER
bikash_gurung@bivgs.no,2025-G12,TRANSFER
xiao_wanglee@bivgs.no,2025-G12,TRANSFER
john_mutua@bivgs.no,2025-G12,TRANSFER
joseph_kagwa@bivgs.no,2025-G12,TRANSFER
hannah_andersen@bivgs.no,2025-G12,TRANSFER
hannah_olsen@bivgs.no,2025-G12,TRANSFER
krishna_thapa@bivgs.no,2025-G12,TRANSFER
ruth_hansen@bivgs.com,2025-G9,FRESH
dennis_dimitrov@bivgs.com,2025-G9,FRESH
maria_jensen@bivgs.com,2025-G9,FRESH
jerry_kowalski@bivgs.com,2025-G9,FRESH
heather_lindberg@bivgs.com,2025-G9,FRESH
tyler_rossi@bivgs.com,2025-G9,FRESH
diane_novak@bivgs.com,2025-G9,FRESH
virginia_schneider@bivgs.com,2025-G9,FRESH
jose_lindberg@bivgs.com,2025-G9,FRESH
julie_bakker@bivgs.com,2025-G9,FRESH
adam_dimitrov@bivgs.com,2025-G9,FRESH
joyce_lindberg@bivgs.com,2025-G9,FRESH
henry_ivanov@bivgs.com,2025-G9,FRESH
nathan_kowalski@bivgs.com,2025-G9,FRESH
olivia_andersen@bivgs.com,2025-G9,FRESH
douglas_popescu@bivgs.com,2025-G9,FRESH
zachary_popescu@bivgs.com,2025-G9,FRESH
christina_dubois@bivgs.com,2025-G9,FRESH
peter_jensen@bivgs.com,2025-G9,FRESH
lauren_popescu@bivgs.com,2025-G9,FRESH
kyle_andersen@bivgs.com,2025-G9,FRESH
joan_hansen@bivgs.com,2025-G9,FRESH
judith_dimitrov@bivgs.com,2025-G9,FRESH
jeremy_smits@bivgs.com,2025-G9,FRESH
harold_johansson@bivgs.com,2025-G9,FRESH
cheryl_rossi@bivgs.com,2025-G9,FRESH
keith_dimitrov@bivgs.com,2025-G9,FRESH
andrea_kowalski@bivgs.com,2025-G9,FRESH
roger_hansen@bivgs.com,2025-G9,FRESH
frances_petrov@bivgs.com,2025-G9,FRESH
noah_lindberg@bivgs.com,2025-G9,FRESH
hannah_petrov@bivgs.com,2025-G9,FRESH
jacqueline_popescu@bivgs.com,2025-G9,FRESH
carl_popescu@bivgs.com,2025-G9,FRESH
ann_bakker@bivgs.com,2025-G9,FRESH
terry_kowalski@bivgs.com,2025-G9,FRESH
jean_andersen@bivgs.com,2025-G9,FRESH
sean_ivanov@bivgs.com,2025-G9,FRESH
alice_rossi@bivgs.com,2025-G9,FRESH
austin_jensen@bivgs.com,2025-G9,FRESH
madison_andersen@bivgs.com,2025-G9,FRESH
logan_andersen@bivgs.com,2025-G9,FRESH
marilyn_kowalski@bivgs.com,2025-G9,FRESH
amber_popescu@bivgs.com,2025-G9,FRESH
juan_dimitrov@bivgs.com,2025-G9,FRESH
danielle_lindberg@bivgs.com,2025-G9,FRESH
wayne_petrov@bivgs.com,2025-G9,FRESH
randy_ivanov@bivgs.com,2025-G9,FRESH
diana_kowalski@bivgs.com,2025-G9,FRESH
louis_dimitrov@bivgs.com,2025-G9,FRESH
natalie_kowalski@bivgs.com,2025-G9,FRESH
sophia_dimitrov@bivgs.com,2025-G9,FRESH
vincent_popescu@bivgs.com,2025-G9,FRESH
isabella_dubois@bivgs.com,2025-G9,FRESH
bobby_ivanov@bivgs.com,2025-G9,FRESH
charlotte_hansen@bivgs.com,2025-G9,FRESH
joseph_kiso_walekhwa@yahoo.com,2025-G9,FRESH
raymond_juma@yahoo.com,2025-G9,FRESH
