email,first_name,initials,last_name,dob,gender,role,phone,street_address,city,state_province,postal_code,country,password1,password2
logan_eliassen@tutanota.com,Logan,G,Eliassen,6/12/1971,male,parent,+4796740054,Åsenga 116,Kirkenes,Kirkenes,4111,NO,@0BusiaKenya,@0BusiaKenya
morgan_knudsen@fastmail.com,Morgan,R,Knudsen,11/5/1965,female,parent,+4796306738,Åshagen 169,Kirkenes,Kirkenes,6730,NO,@0BusiaKenya,@0BusiaKenya
noah_myklebust@hushmail.com,Noah,A,Myklebust,4/23/1963,male,parent,+4796974766,Solhagen 176,Gjøvik,Gjøvik,4777,NO,@0BusiaKenya,@0BusiaKenya
olivia_rossi@lycos.com,Olivia,I,Rossi,9/6/1968,female,parent,+4796134187,Fjordstien 70,Førde,Førde,5768,NO,@0BusiaKenya,@0BusiaKenya
parker_eide@inbox.com,Parker,R,Eide,9/25/1966,male,parent,+4796362444,Elvveien 134,Jessheim,Jessheim,3588,NO,@0BusiaKenya,@0BusiaKenya
quinn_andresen@rediffmail.com,Quinn,I,Andresen,7/25/1971,female,parent,+4796540648,Bergenga 124,Alta,Alta,7831,NO,@0BusiaKenya,@0BusiaKenya
riley_eliassen@mailfence.com,Riley,L,Eliassen,7/17/1972,female,parent,+4796623192,Dalbråten 78,Notodden,Notodden,5745,NO,@0BusiaKenya,@0BusiaKenya
sawyer_kristiansen@runbox.com,Sawyer,W,Kristiansen,8/15/1970,male,parent,+4796498801,Havgata 170,Levanger,Levanger,6481,NO,@0BusiaKenya,@0BusiaKenya
taylor_mikkelsen@posteo.com,Taylor,Y,Mikkelsen,10/25/1974,female,parent,+4796916373,Skoggata 131,Hønefoss,Hønefoss,7447,NO,@0BusiaKenya,@0BusiaKenya
avery_birkeland@startmail.com,Avery,E,Birkeland,4/9/1968,female,parent,+4796931889,Havhagen 173,Kongsvinger,Kongsvinger,6364,NO,@0BusiaKenya,@0BusiaKenya
blake_isaksen@naver.com,Blake,A,Isaksen,7/24/1970,male,parent,+4796230967,Havbråten 177,Sogndal,Sogndal,5608,NO,@0BusiaKenya,@0BusiaKenya
casey_berg@qq.com,Casey,S,Berg,10/15/1972,male,parent,+4796938086,Havstien 7,Levanger,Levanger,4018,NO,@0BusiaKenya,@0BusiaKenya
emerson_ahmed@126.com,Emerson,E,Ahmed,5/21/1969,male,parent,+4796653651,Solgata 5,Tynset,Tynset,6025,NO,@0BusiaKenya,@0BusiaKenya
frankie_brekke@sina.com,Frankie,A,Brekke,3/10/1965,male,parent,+4796440488,Lundbakken 56,Gjøvik,Gjøvik,4180,NO,@0BusiaKenya,@0BusiaKenya
grayson_bakken@yeah.com,Grayson,A,Bakken,4/2/1974,male,parent,+4796514937,Lundveien 55,Alta,Alta,8758,NO,@0BusiaKenya,@0BusiaKenya
hadley_nakaweesi@daum.com,Hadley,D,Nakaweesi,5/11/1967,female,parent,+4796433792,Elvstien 111,Stjørdal,Stjørdal,1929,NO,@0BusiaKenya,@0BusiaKenya
indigo_muwanguzi@seznam.com,Indigo,D,Muwanguzi,12/8/1973,male,parent,+4796968837,Åshagen 74,Hønefoss,Hønefoss,2211,NO,@0BusiaKenya,@0BusiaKenya
jamie_nakalema@web.com,Jamie,M,Nakalema,9/11/1963,male,parent,+4796899976,Fjordbakken 140,Gjøvik,Gjøvik,4709,NO,@0BusiaKenya,@0BusiaKenya
kai_edvardsen@bluewin.com,Kai,I,Edvardsen,8/26/1970,male,parent,+4796910748,Dalgata 89,Alta,Alta,2421,NO,@0BusiaKenya,@0BusiaKenya
levi_pettersen@laposte.com,Levi,V,Pettersen,4/7/1966,female,parent,+4796768167,Dalhagen 157,Lillestrøm,Lillestrøm,4440,NO,@0BusiaKenya,@0BusiaKenya
nico_abrahamsen@wp.com,Nico,C,Abrahamsen,3/26/1963,male,parent,+4796279196,Skogenga 29,Arendal,Arendal,3307,NO,@0BusiaKenya,@0BusiaKenya
payton_sandvik@tiscali.com,Payton,Y,Sandvik,4/9/1967,male,parent,+4796263613,Fjordstien 38,Alta,Alta,4896,NO,@0BusiaKenya,@0BusiaKenya
reagan_ellingsen@virgilio.com,Reagan,A,Ellingsen,9/7/1971,female,parent,+4796357514,Vikbakken 162,Moelv,Moelv,5543,NO,@0BusiaKenya,@0BusiaKenya
skylar_hansen@alice.com,Skylar,Y,Hansen,12/29/1972,male,parent,+4796940197,Dalplassen 150,Lillestrøm,Lillestrøm,4757,NO,@0BusiaKenya,@0BusiaKenya
tristan_myhre@libero.com,Tristan,I,Myhre,4/1/1973,male,parent,+4796476115,Dalplassen 193,Moss,Moss,6578,NO,@0BusiaKenya,@0BusiaKenya
wyatt_fredriksen@tin.com,Wyatt,A,Fredriksen,7/24/1972,female,parent,+4796828940,Bergveien 6,Alta,Alta,2287,NO,@0BusiaKenya,@0BusiaKenya
zion_karlsen@ukr.com,Zion,O,Karlsen,11/8/1974,male,parent,+4796913934,Vikgata 159,Kirkenes,Kirkenes,1580,NO,@0BusiaKenya,@0BusiaKenya
ashley_thompson@rambler.com,Ashley,H,Thompson,7/23/1965,female,parent,+4796952564,Lundbråten 194,Kongsvinger,Kongsvinger,2085,NO,@0BusiaKenya,@0BusiaKenya
beau_jacobsen@centrum.com,Beau,A,Jacobsen,9/11/1963,male,parent,+4796162943,Elvhagen 99,Lillestrøm,Lillestrøm,4195,NO,@0BusiaKenya,@0BusiaKenya
charlie_brekke@onet.com,Charlie,A,Brekke,12/19/1970,female,parent,+4796751236,Åsveien 63,Alta,Alta,4380,NO,@0BusiaKenya,@0BusiaKenya
delaney_pedersen@orange.com,Delaney,L,Pedersen,6/28/1970,male,parent,+4796300849,Lundplassen 60,Gjøvik,Gjøvik,7318,NO,@0BusiaKenya,@0BusiaKenya
eden_jensen@wanadoo.com,Eden,E,Jensen,3/18/1966,female,parent,+4796103395,Fjordveien 190,Førde,Førde,5012,NO,@0BusiaKenya,@0BusiaKenya
flynn_andresen@terra.com,Flynn,Y,Andresen,9/9/1974,male,parent,+4796933358,Skoghagen 179,Moss,Moss,8578,NO,@0BusiaKenya,@0BusiaKenya
genevieve_eide@bol.com,Genevieve,N,Eide,10/5/1965,male,parent,+4796644583,Lundgata 46,Arendal,Arendal,4689,NO,@0BusiaKenya,@0BusiaKenya
hayden_kristoffersen@uol.com,Hayden,Y,Kristoffersen,12/7/1965,male,parent,+4796604276,Solbråten 125,Førde,Førde,2341,NO,@0BusiaKenya,@0BusiaKenya
ivy_knutsen@ig.com,Ivy,Y,Knutsen,10/2/1970,female,parent,+4796200849,Fjordbråten 11,Tynset,Tynset,4744,NO,@0BusiaKenya,@0BusiaKenya
jasper_arnesen@gawab.com,Jasper,S,Arnesen,9/16/1967,male,parent,+4796597133,Berggata 111,Stjørdal,Stjørdal,8432,NO,@0BusiaKenya,@0BusiaKenya
kieran_ali@bigpond.com,Kieran,E,Ali,5/19/1963,female,parent,+4796418264,Dalplassen 34,Stjørdal,Stjørdal,9761,NO,@0BusiaKenya,@0BusiaKenya
liam_pedersen@shaw.com,Liam,A,Pedersen,8/30/1970,male,parent,+4796551485,Fjordplassen 106,Kongsvinger,Kongsvinger,6300,NO,@0BusiaKenya,@0BusiaKenya
mackenzie_morison@rogers.com,Mackenzie,C,Morison,4/27/1968,female,parent,+4796611708,Åshagen 94,Moelv,Moelv,8752,NO,@0BusiaKenya,@0BusiaKenya
orion_okafor@xtra.com,Orion,I,Okafor,3/19/1972,male,parent,+4796123825,Elvbakken 63,Moelv,Moelv,5191,NO,@0BusiaKenya,@0BusiaKenya
paige_ruud@mailinator.com,Paige,I,Ruud,7/14/1972,female,parent,+4796444612,Solveien 186,Kirkenes,Kirkenes,8927,NO,@0BusiaKenya,@0BusiaKenya
rowan_lunde@airmail.com,Rowan,W,Lunde,8/25/1970,male,parent,+4796192367,Vikstien 117,Kirkenes,Kirkenes,8908,NO,@0BusiaKenya,@0BusiaKenya
sydney_olsen@safe-mail.com,Sydney,D,Olsen,8/11/1968,female,parent,+4796100176,Havenga 143,Alta,Alta,8913,NO,@0BusiaKenya,@0BusiaKenya
tatum_ahmed@usa.com,Tatum,T,Ahmed,3/20/1967,male,parent,+4796117628,Fjordstien 39,Alta,Alta,2305,NO,@0BusiaKenya,@0BusiaKenya
uriah_bakke@email.com,Uriah,I,Bakke,4/26/1967,female,parent,+4796530818,Dalveien 122,Kirkenes,Kirkenes,5933,NO,@0BusiaKenya,@0BusiaKenya
vera_abrahamsen@elude.com,Vera,R,Abrahamsen,4/5/1974,male,parent,+4796863533,Skogplassen 151,Lillestrøm,Lillestrøm,4684,NO,@0BusiaKenya,@0BusiaKenya
weston_narocho@vfemail.com,Weston,S,Narocho,10/29/1964,male,parent,+4796832501,Vikstien 53,Hønefoss,Hønefoss,1675,NO,@0BusiaKenya,@0BusiaKenya
xander_berg@bigfoot.com,Xander,N,Berg,4/11/1968,female,parent,+4796773253,Elvgata 167,Levanger,Levanger,1372,NO,@0BusiaKenya,@0BusiaKenya
yasmin_ojiambo@iname.com,Yasmin,S,Ojiambo,6/21/1963,male,parent,+4796307740,Solhagen 148,Moss,Moss,5351,NO,@0BusiaKenya,@0BusiaKenya
zoey_kubebea@netcourrier.com,Zoey,E,Kubebea,3/25/1966,female,parent,+4796879012,Åsbakken 143,Hønefoss,Hønefoss,6252,NO,@0BusiaKenya,@0BusiaKenya
brooke_schmidt@excite.com,Brooke,O,Schmidt,12/13/1974,female,parent,+4796772046,Vikbakken 17,Moelv,Moelv,8614,NO,@0BusiaKenya,@0BusiaKenya
corbin_dubois@care2.com,Corbin,R,Dubois,7/20/1974,male,parent,+4796995925,Åsenga 76,Førde,Førde,8934,NO,@0BusiaKenya,@0BusiaKenya
elias_janssen@btinternet.com,Elias,I,Janssen,9/27/1971,male,parent,+4796633306,Åsgata 162,Arendal,Arendal,9784,NO,@0BusiaKenya,@0BusiaKenya
felicity_martini@ntlworld.com,Felicity,L,Martini,11/14/1973,female,parent,+4796688758,Lundhagen 74,Kirkenes,Kirkenes,4603,NO,@0BusiaKenya,@0BusiaKenya
gideon_bernard@talktalk.com,Gideon,D,Bernard,8/3/1969,male,parent,+4796279806,Fjordhagen 112,Moelv,Moelv,8302,NO,@0BusiaKenya,@0BusiaKenya
harlow_nielsen@sky.com,Harlow,R,Nielsen,10/6/1973,female,parent,+4796773594,Fjordgata 197,Sogndal,Sogndal,8661,NO,@0BusiaKenya,@0BusiaKenya
isla_brown@bellsouth.com,Isla,L,Brown,11/6/1966,male,parent,+4796374418,Åsgata 156,Tynset,Tynset,4987,NO,@0BusiaKenya,@0BusiaKenya
jude_bauer@cox.com,Jude,D,Bauer,4/28/1972,female,parent,+4796835693,Skoggata 43,Sandvika,Sandvika,6646,NO,@0BusiaKenya,@0BusiaKenya
kelsey_salim@sbcglobal.com,Kelsey,L,Salim,11/25/1964,male,parent,+4796115778,Fjordhagen 180,Levanger,Levanger,8373,NO,@0BusiaKenya,@0BusiaKenya
kendall_andersen@parent.no,Kendall,N,Andersen,12/3/1965,male,parent,+4796147109,Bergveien 68,Moss,Moss,4264,NO,@0BusiaKenya,@0BusiaKenya
madison_andersen@parent.no,Madison,D,Andersen,6/3/1971,female,parent,+4796276089,Fjordbakken 89,Stjørdal,Stjørdal,7133,NO,@0BusiaKenya,@0BusiaKenya
noah_chen@parent.no,Noah,A,Chen,10/29/1963,male,parent,+4796130288,Solgata 129,Fauske,Fauske,4000,NO,@0BusiaKenya,@0BusiaKenya
bailey_chengo@parent.no,Bailey,I,Chengo,3/26/1971,female,parent,+4796961600,Vikgata 82,Kongsvinger,Kongsvinger,6064,NO,@0BusiaKenya,@0BusiaKenya
emerson_gupta@parent.no,Emerson,E,Gupta,6/25/1974,male,parent,+4796843476,Åsbråten 117,Jessheim,Jessheim,9422,NO,@0BusiaKenya,@0BusiaKenya
grayson_gupta@parent.no,Grayson,A,Gupta,10/23/1970,male,parent,+4796341152,Bergenga 100,Hønefoss,Hønefoss,5865,NO,@0BusiaKenya,@0BusiaKenya
indigo_gurung@parent.no,Indigo,D,Gurung,11/8/1970,male,parent,+4796756296,Solplassen 51,Moelv,Moelv,4164,NO,@0BusiaKenya,@0BusiaKenya
elliot_hansen@parent.no,Elliot,L,Hansen,7/21/1963,male,parent,+4796698994,Elvgata 77,Førde,Førde,8003,NO,@0BusiaKenya,@0BusiaKenya
dakota_huang@parent.no,Dakota,K,Huang,9/1/1971,male,parent,+4796838633,Havenga 90,Gjøvik,Gjøvik,4947,NO,@0BusiaKenya,@0BusiaKenya
morgan_iyer@parent.no,Morgan,R,Iyer,8/13/1972,female,parent,+4796174542,Solbråten 139,Sogndal,Sogndal,7046,NO,@0BusiaKenya,@0BusiaKenya
casey_kagwa@parent.no,Casey,S,Kagwa,9/23/1966,male,parent,+4796179168,Dalenga 87,Stjørdal,Stjørdal,9708,NO,@0BusiaKenya,@0BusiaKenya
levi_kagwa@parent.no,Levi,V,Kagwa,6/12/1971,male,parent,+4796902131,Havenga 130,Alta,Alta,3942,NO,@0BusiaKenya,@0BusiaKenya
hadley_kamau@parent.no,Hadley,D,Kamau,11/5/1965,female,parent,+4796130782,Åsenga 23,Moss,Moss,7200,NO,@0BusiaKenya,@0BusiaKenya
jordan_kariuki@parent.no,Jordan,R,Kariuki,4/23/1963,male,parent,+4796712053,Solveien 126,Lillestrøm,Lillestrøm,9547,NO,@0BusiaKenya,@0BusiaKenya
olivia_khadka@parent.no,Olivia,I,Khadka,9/6/1968,female,parent,+4796691996,Elvgata 83,Hønefoss,Hønefoss,4645,NO,@0BusiaKenya,@0BusiaKenya
harper_larsen@parent.no,Harper,R,Larsen,9/25/1966,female,parent,+4796105238,Skogplassen 191,Lillestrøm,Lillestrøm,2141,NO,@0BusiaKenya,@0BusiaKenya
logan_li@parent.no,Logan,G,Li,7/25/1971,male,parent,+4796315558,Havstien 139,Kongsvinger,Kongsvinger,5601,NO,@0BusiaKenya,@0BusiaKenya
quinn_liu@parent.no,Quinn,I,Liu,7/17/1972,female,parent,+4796155177,Lundstien 86,Gjøvik,Gjøvik,1236,NO,@0BusiaKenya,@0BusiaKenya
gabriel_musoke@parent.no,Gabriel,B,Musoke,8/15/1970,male,parent,+4796533632,Fjordhagen 36,Notodden,Notodden,2059,NO,@0BusiaKenya,@0BusiaKenya
riley_musoke@parent.no,Riley,L,Musoke,10/25/1974,female,parent,+4796827202,Elvgata 124,Tynset,Tynset,6075,NO,@0BusiaKenya,@0BusiaKenya
kai_mutua@parent.no,Kai,I,Mutua,4/9/1968,male,parent,+4796279098,Fjordbakken 176,Gjøvik,Gjøvik,7590,NO,@0BusiaKenya,@0BusiaKenya
nico_olsen@parent.no,Nico,C,Olsen,7/24/1970,male,parent,+4796271021,Lundhagen 173,Kongsvinger,Kongsvinger,9563,NO,@0BusiaKenya,@0BusiaKenya
cameron_olsend@parent.no,Cameron,M,Olsend,10/15/1972,male,parent,+4796777845,Åsplassen 30,Sandvika,Sandvika,6822,NO,@0BusiaKenya,@0BusiaKenya
blake_rana@parent.no,Blake,A,Rana,7/14/1964,male,parent,+4796771691,Dalbakken 32,Førde,Førde,5956,NO,@0BusiaKenya,@0BusiaKenya
taylor_rao@parent.no,Taylor,Y,Rao,5/21/1969,female,parent,+4796790574,Dalbakken 127,Lillestrøm,Lillestrøm,3285,NO,@0BusiaKenya,@0BusiaKenya
drew_sharma@parent.no,Drew,E,Sharma,3/10/1965,male,parent,+4796418194,Bergplassen 173,Arendal,Arendal,4375,NO,@0BusiaKenya,@0BusiaKenya
sawyer_ssenyonga@parent.no,Sawyer,W,Ssenyonga,4/2/1974,male,parent,+4796239378,Elvbråten 96,Jessheim,Jessheim,1360,NO,@0BusiaKenya,@0BusiaKenya
isaac_thapa@parent.no,Isaac,A,Thapa,5/11/1967,male,parent,+4796185476,Bergveien 91,Sogndal,Sogndal,1962,NO,@0BusiaKenya,@0BusiaKenya
parker_thapa@parent.no,Parker,R,Thapa,12/8/1973,male,parent,+4796846510,Lundbråten 52,Gjøvik,Gjøvik,4772,NO,@0BusiaKenya,@0BusiaKenya
oakley_thapa@parent.no,Oakley,K,Thapa,9/11/1963,male,parent,+4796720265,Havenga 117,Gjøvik,Gjøvik,7439,NO,@0BusiaKenya,@0BusiaKenya
finley_verma@parent.no,Finley,N,Verma,8/26/1970,male,parent,+4796416886,Vikstien 139,Notodden,Notodden,8653,NO,@0BusiaKenya,@0BusiaKenya
alex_wamalwa@parent.no,Alex,E,Wamalwa,4/7/1966,male,parent,+4796327118,Havplassen 44,Stjørdal,Stjørdal,3989,NO,@0BusiaKenya,@0BusiaKenya
avery_wang@parent.no,Avery,E,Wang,7/19/1969,male,parent,+4796661484,Åsstien 177,Sandvika,Sandvika,2997,NO,@0BusiaKenya,@0BusiaKenya
jamie_wanglee@parent.no,Jamie,M,Wanglee,3/26/1963,male,parent,+4796807142,Skogstien 188,Moelv,Moelv,7406,NO,@0BusiaKenya,@0BusiaKenya
frankie_yang@parent.no,Frankie,A,Yang,4/15/1973,female,parent,+4796242901,Vikplassen 149,Kongsvinger,Kongsvinger,1032,NO,@0BusiaKenya,@0BusiaKenya
adam.bakker@hotmail.com,Adam,A,Bakker,12/3/1965,male,parent,+4748185988,328 Pine Rd,Oslo,Skopje,31902,CH,@0BusiaKenya,@0BusiaKenya
adnan.novak@gmail.com,Adnan,N,Novak,6/3/1971,male,parent,+4748188648,731 Pine Rd,Budapest,Budapest,23276,ES,@0BusiaKenya,@0BusiaKenya
aino.lindberg@yahoo.com,Aino,N,Lindberg,10/29/1963,female,parent,+4748189326,217 Pine Rd,Reykjavik,Leinster,58367,ES,@0BusiaKenya,@0BusiaKenya
aleksandar.novak@example.com,Aleksandar,E,Novak,3/26/1971,male,parent,+4748188697,490 Oak Ave,Zurich,Oslo,60102,BA,@0BusiaKenya,@0BusiaKenya
alexandru.schneider@yahoo.com,Alexandru,E,Schneider,6/25/1974,male,parent,+4748188451,599 Maple Blvd,Madrid,Sarajevo,63534,RS,@0BusiaKenya,@0BusiaKenya
alina.novak@yahoo.com,Alina,I,Novak,10/23/1970,female,parent,+4748184570,169 Pine Rd,Amsterdam,Central Slovenia,25406,RS,@0BusiaKenya,@0BusiaKenya
amina.smits@example.com,Amina,I,Smits,11/8/1970,female,parent,+4748189403,Åsveien 143,Kirkenes,Kirkenes,8800,NO,@0BusiaKenya,@0BusiaKenya
ana.schneider@example.com,Ana,A,Schneider,7/21/1963,female,parent,+4748183596,167 Pine Rd,Amsterdam,Capital Region,63994,SK,@0BusiaKenya,@0BusiaKenya
anastasia.dimitrov@outlook.com,Anastasia,A,Dimitrov,9/1/1971,female,parent,+4748185976,844 Pine Rd,Paris,Masovian,41930,BA,@0BusiaKenya,@0BusiaKenya
anders.hansen@example.com,Anders,D,Hansen,8/13/1972,male,parent,+4748188079,54 Pine Rd,Prague,Central Slovenia,43996,RO,@0BusiaKenya,@0BusiaKenya
andrii.petrov@yahoo.com,Andrii,D,Petrov,9/23/1966,male,parent,+4748189359,845 Maple Blvd,Skopje,Bavaria,67872,DE,@0BusiaKenya,@0BusiaKenya
aneta.bakker@example.com,Aneta,E,Bakker,6/12/1971,female,parent,+4748184142,846 Main St,Paris,Bavaria,67066,IE,@0BusiaKenya,@0BusiaKenya
anna.popescu@outlook.com,Anna,N,Popescu,11/5/1965,female,parent,+4748189486,Elvbråten 124,Alta,Alta,3257,NO,@0BusiaKenya,@0BusiaKenya
anna.schneider@gmail.com,Anna,N,Schneider,4/23/1963,female,parent,+4748184206,746 Pine Rd,Belgrade,Sarajevo,11097,SE,@0BusiaKenya,@0BusiaKenya
sergiu.schneider@hotmail.com,Sergiu,R,Schneider,9/6/1968,male,parent,+4748186552,826 Oak Ave,Amsterdam,Oslo,80800,SI,@0BusiaKenya,@0BusiaKenya
sigr.kowalski@gmail.com,Sigr,G,Kowalski,9/25/1966,female,parent,+4748186153,76 Oak Ave,Madrid,Bucharest,87989,PL,@0BusiaKenya,@0BusiaKenya
annika.ivanov@gmail.com,Annika,N,Ivanov,7/25/1971,female,parent,+4748187249,280 Pine Rd,Budapest,Skopje,17585,BA,@0BusiaKenya,@0BusiaKenya
antti.ivanov@gmail.com,Antti,T,Ivanov,7/17/1972,male,parent,+4748183839,900 Maple Blvd,Sarajevo,Skopje,44136,CH,@0BusiaKenya,@0BusiaKenya
aoife.lindberg@gmail.com,Aoife,I,Lindberg,8/15/1970,female,parent,+4748189212,971 Oak Ave,Stockholm,Stockholm County,72284,PL,@0BusiaKenya,@0BusiaKenya
arben.schneider@gmail.com,Arben,B,Schneider,10/25/1974,male,parent,+4748184876,852 Pine Rd,Prague,Skopje,77057,IS,@0BusiaKenya,@0BusiaKenya
arjan.jensen@yahoo.com,Arjan,J,Jensen,4/9/1968,male,parent,+4748188755,520 Oak Ave,Bratislava,Tirana,53386,ES,@0BusiaKenya,@0BusiaKenya
arthur.andersen@outlook.com,Arthur,T,Andersen,7/24/1970,male,parent,+4748188280,Havgata 170,Arendal,Arendal,5531,NO,@0BusiaKenya,@0BusiaKenya
beatriz.andersen@example.com,Beatriz,A,Andersen,10/15/1972,female,parent,+4748186420,782 Maple Blvd,Budapest,Stockholm County,47795,CZ,@0BusiaKenya,@0BusiaKenya
bence.lindberg@outlook.com,Bence,N,Lindberg,5/21/1969,male,parent,+4748189177,Solstien 118,Levanger,Levanger,9965,NO,@0BusiaKenya,@0BusiaKenya
boban.dubois@example.com,Boban,B,Dubois,3/10/1965,male,parent,+4748189598,913 Oak Ave,Budapest,Bavaria,32584,IS,@0BusiaKenya,@0BusiaKenya
bram.jensen@yahoo.com,Bram,A,Jensen,4/2/1974,male,parent,+4748185109,50 Maple Blvd,Rome,North Holland,50328,IT,@0BusiaKenya,@0BusiaKenya
camilla.kowalski@outlook.com,Camilla,M,Kowalski,5/11/1967,female,parent,+4748185275,179 Main St,Skopje,Leinster,95832,ES,@0BusiaKenya,@0BusiaKenya
camille.bakker@gmail.com,Camille,M,Bakker,12/8/1973,female,parent,+4748189366,773 Main St,Tirana,Zurich,17281,DE,@0BusiaKenya,@0BusiaKenya
carlos.smits@yahoo.com,Carlos,R,Smits,9/11/1963,male,parent,+4748183610,616 Main St,Reykjavik,Stockholm County,55678,AL,@0BusiaKenya,@0BusiaKenya
carmen.smits@hotmail.com,Carmen,R,Smits,8/26/1970,female,parent,+4748186658,786 Pine Rd,Budapest,Tirana,47653,ES,@0BusiaKenya,@0BusiaKenya
cian.ivanov@yahoo.com,Cian,A,Ivanov,4/7/1966,male,parent,+4748189933,417 Maple Blvd,Budapest,Skopje,39010,IT,@0BusiaKenya,@0BusiaKenya
clara.andersen@gmail.com,Clara,A,Andersen,3/26/1963,female,parent,+4748187416,38 Maple Blvd,Stockholm,Sarajevo,34405,SI,@0BusiaKenya,@0BusiaKenya
dmitry.kowalski@gmail.com,Dmitry,I,Kowalski,4/9/1967,male,parent,+4748187267,97 Oak Ave,Dublin,Stockholm County,35337,SK,@0BusiaKenya,@0BusiaKenya
donika.ivanov@example.com,Donika,N,Ivanov,9/7/1971,female,parent,+4748186055,646 Maple Blvd,Amsterdam,Zurich,79051,RO,@0BusiaKenya,@0BusiaKenya
edgars.popescu@yahoo.com,Edgars,G,Popescu,12/29/1972,male,parent,+4748188279,357 Oak Ave,Bratislava,Madrid,92933,IS,@0BusiaKenya,@0BusiaKenya
ekaterina.bakker@yahoo.com,Ekaterina,A,Bakker,4/1/1973,female,parent,+4748189220,Lundstien 106,Fauske,Fauske,5483,NO,@0BusiaKenya,@0BusiaKenya
elena.lindberg@yahoo.com,Elena,E,Lindberg,11/8/1974,female,parent,+4748188592,926 Oak Ave,Prague,Oslo,71248,SK,@0BusiaKenya,@0BusiaKenya
eleni.kowalski@hotmail.com,Eleni,E,Kowalski,7/23/1965,female,parent,+4748188783,246 Oak Ave,Bucharest,Belgrade,84849,NL,@0BusiaKenya,@0BusiaKenya
sophie.petrov@hotmail.com,Sophie,P,Petrov,9/11/1963,female,parent,+4748187851,887 Oak Ave,Warsaw,Sarajevo,65691,NL,@0BusiaKenya,@0BusiaKenya
sophie.kowalski@example.com,Sophie,P,Kowalski,12/19/1970,female,parent,+4748185548,Elvplassen 127,Hønefoss,Hønefoss,7514,NO,@0BusiaKenya,@0BusiaKenya
sophie.johansson@example.com,Sophie,P,Johansson,6/28/1970,female,parent,+4748189435,996 Oak Ave,Reykjavik,Belgrade,13179,SE,@0BusiaKenya,@0BusiaKenya
stefan.ivanov@yahoo.com,Stefan,E,Ivanov,3/18/1966,male,parent,+4748186697,453 Oak Ave,Bratislava,Bucharest,69557,RS,@0BusiaKenya,@0BusiaKenya
stefan.jensen@gmail.com,Stefan,E,Jensen,9/9/1974,male,parent,+4748187149,496 Main St,Warsaw,Sarajevo,23487,HU,@0BusiaKenya,@0BusiaKenya
tanel.ivanov@outlook.com,Tanel,N,Ivanov,10/5/1965,male,parent,+4748186781,478 Pine Rd,Rome,Zurich,43532,SK,@0BusiaKenya,@0BusiaKenya
tereza.dubois@gmail.com,Tereza,R,Dubois,12/7/1965,female,parent,+4748183447,806 Oak Ave,Madrid,Leinster,61719,IE,@0BusiaKenya,@0BusiaKenya
elise.rossi@yahoo.com,Elise,I,Rossi,10/2/1970,female,parent,+4748183402,373 Main St,Oslo,Budapest,80534,SE,@0BusiaKenya,@0BusiaKenya
elza.petrov@outlook.com,Elza,Z,Petrov,9/16/1967,female,parent,+4748189818,853 Pine Rd,Bratislava,Belgrade,89794,DE,@0BusiaKenya,@0BusiaKenya
emir.novak@yahoo.com,Emir,I,Novak,5/19/1963,male,parent,+4748188795,161 Main St,Bucharest,Prague Region,20766,CZ,@0BusiaKenya,@0BusiaKenya
